DE;EN;FR;SPECIES_CODE
Strauß;Common Ostrich;Autruche d'Afrique;ostric2
Somalistrauß;Somali Ostrich;Autruche de Somalie;ostric3
Strauß/Somalistrauß;Common/Somali Ostrich;Autruche d'Afrique ou A. de Somalie;y00934
Helmkasuar;Southern Cassowary;Casoar à casque;soucas1
Bennettkasuar;Dwarf Cassowary;Casoar de Bennett;dwacas1
Einlappenkasuar;Northern Cassowary;Casoar unicaronculé;norcas1
Emu;Emu;Émeu d'Australie;emu1
Südstreifenkiwi;Southern Brown Kiwi;Kiwi austral;sobkiw1
Südstreifenkiwi (australis);Southern Brown Kiwi (South I.);Kiwi austral (australis);sobkiw2
Südstreifenkiwi (lawryi);Southern Brown Kiwi (Stewart I.);Kiwi austral (lawryi);sobkiw3
Okaritokiwi;Okarito Brown Kiwi;Kiwi d'Okarito;okbkiw1
Nordstreifenkiwi;North Island Brown Kiwi;Kiwi de Mantell;nibkiw1
Südstreifen- x Nordstreifenkiwi (Hybrid);Southern Brown x North Island Brown Kiwi (hybrid);Hybride Kiwi austral x K. de Mantell;x01217
Zwergkiwi;Little Spotted Kiwi;Kiwi d'Owen;liskiw1
Okarito- x Zwergkiwi (Hybrid);Okarito Brown x Little Spotted Kiwi (hybrid);Hybride Kiwi d'Okarito x K. d'Owen;x01059
Haastkiwi;Great Spotted Kiwi;Kiwi roa;grskiw1
Kiwi, unbestimmt;kiwi sp.;kiwi sp.;kiwi1
Nandu;Greater Rhea;Nandou d'Amérique;grerhe1
Darwinnandu;Lesser Rhea;Nandou de Darwin;lesrhe2
Darwinnandu (tarapacensis/garleppi);Lesser Rhea (Puna);Nandou de Darwin (tarapacensis/garleppi);lesrhe4
Darwinnandu (pennata);Lesser Rhea (Darwin's);Nandou de Darwin (pennata);lesrhe3
Punatinamu;Puna Tinamou;Tinamou quioula;puntin1
Patagonientinamu;Patagonian Tinamou;Tinamou de Patagonie;pattin1
Schmucktinamu;Quebracho Crested-Tinamou;Tinamou superbe;quctin1
Perltinamu;Elegant Crested-Tinamou;Tinamou élégant;elctin1
Perltinamu [intermedia-Gruppe];Elegant Crested-Tinamou (Northern);Tinamou élégant (groupe intermedia);elecrt11
Perltinamu [elegans-Gruppe];Elegant Crested-Tinamou (Southern);Tinamou élégant (groupe elegans);elecrt12
Pfauentinamu;Dwarf Tinamou;Tinamou carapé;dwatin1
Weißbauchtinamu;White-bellied Nothura;Tinamou boraquira;whbnot1
Wachteltinamu;Lesser Nothura;Petit Tinamou;lesnot1
Darwintinamu;Darwin's Nothura;Tinamou de Darwin;darnot1
Fleckentinamu;Spotted Nothura;Tinamou tacheté;sponot1
Weißbauch-/Fleckentinamu;White-bellied/Spotted Nothura;Tinamou boraquira ou T. tacheté;y01225
Wachtel-/Fleckentinamu;Lesser/Spotted Nothura;Petit Tinamou ou T. tacheté;y01226
Darwin-/Fleckentinamu;Darwin's/Spotted Nothura;Tinamou de Darwin ou T. tacheté;y01375
Streifenhalstinamu;Huayco Tinamou;Tinamou huayco;huatin1
Rotflügeltinamu;Red-winged Tinamou;Tinamou isabelle;rewtin1
Cordobatinamu;Brushland Tinamou;Tinamou sauvageon;brutin1
Andentinamu;Andean Tinamou;Tinamou des Andes;andtin1
Andentinamu [oustaleti-Gruppe];Andean Tinamou (Northern);Tinamou des Andes (groupe oustaleti);andtin10
Andentinamu [pentlandii-Gruppe];Andean Tinamou (Southern);Tinamou des Andes (groupe pentlandii);andtin11
Krummschnabeltinamu;Curve-billed Tinamou;Tinamou curvirostre;cubtin1
Pisaccatinamu;Ornate Tinamou;Tinamou orné;orntin1
Taczanowskitinamu;Taczanowski's Tinamou;Tinamou de Taczanowski;tactin1
Chiletinamu;Chilean Tinamou;Tinamou perdrix;chitin1
Nothoprocta, unbestimmt;Nothoprocta sp.;Nothoprocta sp.;nothop1
Gelbbrusttinamu;Tawny-breasted Tinamou;Tinamou à tête rousse;tabtin1
Kapuzentinamu;Hooded Tinamou;Tinamou à capuchon;hootin1
Bergtinamu;Highland Tinamou;Tinamou de Bonaparte;higtin1
Bergtinamu (frantzii);Highland Tinamou (Costa Rican);Tinamou de Bonaparte (frantzii);higtin3
Bergtinamu [bonapartei-Gruppe];Highland Tinamou (South American);Tinamou de Bonaparte (groupe bonapartei);higtin2
Großtinamu;Great Tinamou;Grand Tinamou;gretin1
Zimttinamu;Solitary Tinamou;Tinamou solitaire;soltin1
Taotinamu;Gray Tinamou;Tinamou tao;grytin1
Weißkehltinamu;White-throated Tinamou;Tinamou à gorge blanche;whttin1
Schwarztinamu;Black Tinamou;Tinamou noir;blatin1
Schwarztinamu (hershkovitzi);Black Tinamou (Colombian);Tinamou noir (hershkovitzi);blktin1
Schwarztinamu (osgoodi);Black Tinamou (Peruvian);Tinamou noir (osgoodi);blktin2
Tinamus, unbestimmt;Tinamus sp.;Tinamus sp.;tinamu1
Berlepschtinamu;Berlepsch's Tinamou;Tinamou de Berlepsch;bertin1
Grautinamu;Cinereous Tinamou;Tinamou cendré;cintin1
Tepuitinamu;Tepui Tinamou;Tinamou des tépuis;teptin1
Kleinschnabeltinamu;Small-billed Tinamou;Tinamou à petit bec;smbtin1
Tataupatinamu;Tataupa Tinamou;Tinamou tataupa;tattin1
Kastanientinamu;Brown Tinamou;Tinamou brun;brotin1
Kastanientinamu (cerviniventris/knoxi);Brown Tinamou (Venezuelan);Tinamou brun (cerviniventris/knoxi);brntin11
Kastanientinamu (castaneus);Brown Tinamou (Ecuadorian);Tinamou brun (castaneus);brntin1
Kastanientinamu [obsoletus-Gruppe];Brown Tinamou (Andean);Tinamou brun (groupe punensis);brntin2
Kastanientinamu (griseiventris);Brown Tinamou (Amazonian);Tinamou brun (griseiventris);brntin8
Kastanientinamu (obsoletus);Brown Tinamou (Atlantic);Tinamou brun (obsoletus);brntin10
Rotbrusttinamu;Variegated Tinamou;Tinamou varié;vartin1
Bartletttinamu;Bartlett's Tinamou;Tinamou de Bartlett;bartin2
Bindentinamu;Barred Tinamou;Tinamou barré;bartin1
Rosttinamu;Rusty Tinamou;Tinamou rubigineux;rustin1
Brauntinamu;Little Tinamou;Tinamou soui;littin1
Wellentinamu;Undulated Tinamou;Tinamou vermiculé;undtin1
Gelbfußtinamu;Yellow-legged Tinamou;Tinamou noctivague;yeltin1
Gelbfußtinamu (zabele);Yellow-legged Tinamou (zabele);Tinamou noctivague (zabele);yeltin2
Gelbfußtinamu (noctivagus);Yellow-legged Tinamou (noctivagus);Tinamou noctivague (noctivagus);yeltin3
Schwarzkappentinamu;Black-capped Tinamou;Tinamou à calotte noire;blctin1
Brauentinamu;Pale-browed Tinamou;Tinamou à grands sourcils;pabtin1
Buschtinamu;Thicket Tinamou;Tinamou cannelle;thitin1
Buschtinamu (occidentalis);Thicket Tinamou (occidentalis);Tinamou cannelle (occidentalis);thitin2
Buschtinamu [cinnamomeus-Gruppe];Thicket Tinamou (cinnamomeus Group);Tinamou cannelle (groupe cinnamomeus);thitin3
Graukehltinamu;Slaty-breasted Tinamou;Tinamou de Boucard;slbtin1
Kerrtinamu;Choco Tinamou;Tinamou de Kerr;chotin1
Rotfußtinamu;Red-legged Tinamou;Tinamou à pieds rouges;reltin1
Graufußtinamu;Gray-legged Tinamou;Tinamou de Zimmer;gyltin1
Rotkehltinamu;Brazilian Tinamou;Tinamou oariana;bratin1
Serra do Divisor Tinamou (undescribed form);Serra do Divisor Tinamou (undescribed form);Crypturellus sp. (du Serra do Divisor, forme non décrite);sddtin1
Crypturellus, unbestimmt;Crypturellus sp.;Crypturellus sp.;cryptu1
Tinamu, unbestimmt;tinamou sp.;tinamou sp.;tinamo1
Hornwehrvogel;Horned Screamer;Kamichi cornu;horscr1
Halsband-Wehrvogel;Southern Screamer;Kamichi à collier;souscr1
Weißwangen-Wehrvogel;Northern Screamer;Kamichi chavaria;norscr1
Spaltfußgans;Magpie Goose;Canaroie semipalmée;maggoo1
Tüpfelpfeifgans;Spotted Whistling-Duck;Dendrocygne tacheté;spwduc1
Gelbfuß-Pfeifgans;Plumed Whistling-Duck;Dendrocygne d'Eyton;plwduc1
Witwenpfeifgans;White-faced Whistling-Duck;Dendrocygne veuf;wfwduc1
Tüpfel- x Witwenpfeifgans (Hybrid);Spotted x White-faced Whistling-Duck (hybrid);Hybride Dendrocygne tacheté x D. veuf;x00721
Gelbfuß- x Witwenpfeifgans (Hybrid);Plumed x White-faced Whistling-Duck (hybrid);Hybride Dendrocygne d'Eyton x D. veuf;x01218
Rotschnabel-Pfeifgans;Black-bellied Whistling-Duck;Dendrocygne à ventre noir;bbwduc
Rotschnabel-Pfeifgans (fulgens);Black-bellied Whistling-Duck (Northern);Dendrocygne à ventre noir (fulgens);bkbwhd1
Rotschnabel-Pfeifgans (autumnalis);Black-bellied Whistling-Duck (Southern);Dendrocygne à ventre noir (autumnalis);bkbwhd2
Witwen- x Rotschnabel-Pfeifgans (Hybrid);White-faced x Black-bellied Whistling-Duck (hybrid);Hybride Dendrocygne veuf x D. à ventre noir;x01141
Kubapfeifgans;West Indian Whistling-Duck;Dendrocygne des Antilles;wiwduc1
Rotschnabel- x Kubapfeifgans (Hybrid);Black-bellied x West Indian Whistling-Duck (hybrid);Hybride Dendrocygne à ventre noir x D. des Antilles;x00775
Gelbbrust-Pfeifgans;Fulvous Whistling-Duck;Dendrocygne fauve;fuwduc
Witwen- x Gelbbrust-Pfeifgans (Hybrid);White-faced x Fulvous Whistling-Duck (hybrid);Hybride Dendrocygne veuf x D. fauve;x00938
Rotschnabel- x Gelbbrust-Pfeifgans (Hybrid);Black-bellied x Fulvous Whistling-Duck (hybrid);Hybride Dendrocygne à ventre noir x D. fauve;x00875
Wanderpfeifgans;Wandering Whistling-Duck;Dendrocygne à lunules;wawduc1
Gelbfuß- x Wanderpfeifgans (Hybrid);Plumed x Wandering Whistling-Duck (hybrid);Hybride Dendrocygne d'Eyton x D. à lunules;x00990
Gelbfuß-/Wanderpfeifgans;Plumed/Wandering Whistling-Duck;Dendrocygne d'Eyton ou D. à lunules;y01227
Javapfeifgans;Lesser Whistling-Duck;Dendrocygne siffleur;lewduc1
Gelbbrust-/Javapfeifgans;Fulvous/Lesser Whistling-Duck;Dendrocygne fauve ou D. siffleur;y01080
Wander- x Javapfeifgans (Hybrid);Wandering x Lesser Whistling-Duck (hybrid);Hybride Dendrocygne à lunules x D. siffleur;x00360
Pfeifgans, unbestimmt;whistling-duck sp.;Dendrocygna sp.;whistl1
Weißrücken-Pfeifgans;White-backed Duck;Dendrocygne à dos blanc;whbduc1
Streifengans;Bar-headed Goose;Oie à tête barrée;bahgoo
Kaisergans;Emperor Goose;Oie empereur;empgoo
Schneegans;Snow Goose;Oie des neiges;snogoo
Streifen- x Schneegans (Hybrid);Bar-headed x Snow Goose (hybrid);Hybride Oie à tête barrée x O. des neiges;x00991
Kaiser- x Schneegans (Hybrid);Emperor x Snow Goose (hybrid);Hybride Oie empereur x O. des neiges;x01176
Zwergschneegans;Ross's Goose;Oie de Ross;rosgoo
Schnee- x Zwergschneegans (Hybrid);Snow x Ross's Goose (hybrid);Hybride Oie des neiges x O. de Ross;sxrgoo1
Schnee-/Zwergschneegans;Snow/Ross's Goose;Oie des neiges ou O. de Ross;y00469
Graugans;Graylag Goose;Oie cendrée;gragoo
Graugans (anser);Graylag Goose (European);Oie cendrée (anser);gragoo2
Graugans (rubrirostris);Graylag Goose (Siberian);Oie cendrée (rubrirostris);gragoo3
Graugans (domestiziert);Graylag Goose (Domestic type);Oie cendrée (forme domestique);gragoo1
Streifen- x Graugans (Hybrid);Bar-headed x Graylag Goose (hybrid);Hybride Oie à tête barrée x O. cendrée;x00992
Kaiser- x Graugans (Hybrid);Emperor x Graylag Goose (hybrid);Hybride Oie empereur x O. cendrée;x01119
Schwanengans;Swan Goose;Oie cygnoïde;swagoo1
Schwanengans (domestiziert), Höckergans;Swan Goose (Domestic type);Oie cygnoïde (forme domestique);swagoo2
Streifen- x Schwanengans (Hybrid);Bar-headed x Swan Goose (hybrid);Hybride Oie à tête barrée x O. cygnoïde;x01143
Schnee- x Schwanengans (Hybrid);Snow x Swan Goose (hybrid);Hybride Oie des neiges x O. cygnoïde;x01144
Streifen- x Schnee- x Schwanengans (Hybrid);Bar-headed x Snow x Swan Goose (hybrid);Hybride Oie à tête barrée x O. des neiges x O. cygnoïde;x01142
Grau- x Schwanengans (Hybrid);Graylag x Swan Goose (hybrid);Hybride Oie cendrée x O. cygnoïde;x00776
Blässgans;Greater White-fronted Goose;Oie rieuse;gwfgoo
Blässgans (Grönländische);Greater White-fronted Goose (Greenland);Oie rieuse (flavirostris);gwfgoo1
Blässgans (albifrons);Greater White-fronted Goose (Eurasian);Oie rieuse (albifrons);gwfgoo4
Blässgans (gambelli/sponsa);Greater White-fronted Goose (Western);Oie rieuse (gambelli/sponsa);gwfgoo2
Blässgans (elgasi);Greater White-fronted Goose (Tule);Oie rieuse (elgasi);gwfgoo3
Streifen- x Blässgans (Hybrid);Bar-headed x Greater White-fronted Goose (hybrid);Hybride Oie à tête barrée x O. rieuse;x00755
Kaiser- x Blässgans (Hybrid);Emperor x Greater White-fronted Goose (hybrid);Hybride Oie empereur x O. rieuse;x00361
Schnee- x Blässgans (Hybrid);Snow x Greater White-fronted Goose (hybrid);Hybride Oie des neiges x O. rieuse;x00627
Zwergschnee- x Blässgans (Hybrid);Ross's x Greater White-fronted Goose (hybrid);Hybride Oie de Ross x O. rieuse;x00362
Grau- x Blässgans (Hybrid);Graylag x Greater White-fronted Goose (hybrid);Hybride Oie cendrée x O. rieuse;x01145
Zwerggans;Lesser White-fronted Goose;Oie naine;lwfgoo
Bläss-/Zwerggans;Greater/Lesser White-fronted Goose;Oie rieuse ou O. naine;y00707
Waldsaatgans;Taiga Bean-Goose;Oie des moissons;taibeg1
Waldsaatgans (fabalis/johanseni);Taiga Bean-Goose (Western);Oie des moissons (fabalis/johanseni);taibeg5
Waldsaatgans (middendorffii);Taiga Bean-Goose (Eastern);Oie des moissons (middendorffii);taibeg4
Tundrasaatgans;Tundra Bean-Goose;Oie de la toundra;tunbeg1
Bläss- x Tundrasaatgans (Hybrid);Greater White-fronted Goose x Tundra Bean-Goose (hybrid);Hybride Oie rieuse x O. de la toundra;x01089
Wald-/Tundrasaatgans;Taiga/Tundra Bean-Goose;Oie des moissons ou O. de la toundra;y00468
Kurzschnabelgans;Pink-footed Goose;Oie à bec court;pifgoo
Gans (domestiziert);Domestic goose sp. (Domestic type);Anser sp. (forme domestique);domgoo1
Anser, unbestimmt;Anser sp.;Anser sp.;anser1
Ringelgans;Brant;Bernache cravant;brant
Ringelgans (Dunkelbäuchige);Brant (Dark-bellied);Bernache cravant (bernicla);dabbra1
Ringelgans (Hellbäuchige);Brant (Pale-bellied);Bernache cravant (hrota);atlbra1
Ringelgans (Pazifische);Brant (Black);Bernache cravant (nigricans);blkbra1
Ringelgans (Graubäuchige);Brant (Gray-bellied);Bernache cravant (forme à ventre gris);gybbra1
Ringelgans (Dunkelbäuchige x Pazifische);Brant (Dark-bellied x Black);Bernache cravant (bernicla x nigricans);brant2
Ringelgans (Hellbäuchige x Pazifische);Brant (Pale-bellied x Black);Bernache cravant (hrota x nigricans);brant1
Schnee- x Ringelgans (Hybrid);Snow Goose x Brant (hybrid);Hybride Oie des neiges x Bernache cravant;x00685
Weißwangengans;Barnacle Goose;Bernache nonnette;bargoo
Streifen- x Weißwangengans (Hybrid);Bar-headed x Barnacle Goose (hybrid);Hybride Oie à tête barrée x Bernache nonnette;x00363
Kaiser- x Weißwangengans (Hybrid);Emperor x Barnacle Goose (hybrid);Hybride Oie empereur x Bernache nonnette;x00993
Schnee- x Weißwangengans (Hybrid);Snow x Barnacle Goose (hybrid);Hybride Oie des neiges x Bernache nonnette;x00994
Zwergschnee- x Weißwangengans (Hybrid);Ross's x Barnacle Goose (hybrid);Hybride Oie de Ross x Bernache nonnette;x00995
Grau- x Weißwangengans (Hybrid);Graylag x Barnacle Goose (hybrid);Hybride Oie cendrée x Bernache nonnette;x00649
Bläss- x Weißwangengans (Hybrid);Greater White-fronted x Barnacle Goose (hybrid);Hybride Oie rieuse x Bernache nonnette;x00757
Zwerg- x Weißwangengans (Hybrid);Lesser White-fronted x Barnacle Goose (hybrid);Hybride Oie naine x Bernache nonnette;x00364
Kurzschnabel- x Weißwangengans (Hybrid);Pink-footed x Barnacle Goose (hybrid);Hybride Oie à bec court x Bernache nonnette;x00756
Zwergkanadagans;Cackling Goose;Bernache de Hutchins;cacgoo1
Zwergkanadagans (leucopareia);Cackling Goose (Aleutian);Bernache de Hutchins (leucopareia);alcgoo1
Zwergkanadagans (hutchinsii);Cackling Goose (Richardson's);Bernache de Hutchins (hutchinsii);ricgoo1
Zwergkanadagans (minima);Cackling Goose (minima);Bernache de Hutchins (minima);cacgoo2
Zwergkanadagans (taverneri);Cackling Goose (Taverner's);Bernache de Hutchins (taverneri);tacgoo1
Kaiser- x Zwergkanadagans (Hybrid);Emperor x Cackling Goose (hybrid);Hybride Oie empereur x Bernache de Hutchins;x00831
Schnee- x Zwergkanadagans (Hybrid);Snow x Cackling Goose (hybrid);Hybride Oie des neiges x Bernache de Hutchins;x00692
Zwergschnee- x Zwergkanadagans (Hybrid);Ross's x Cackling Goose (hybrid);Hybride Oie de Ross x Bernache de Hutchins;x00694
Ringel- x Zwergkanadagans (Hybrid);Brant x Cackling Goose (hybrid);Hybride Bernache cravant x B. de Hutchins;x00722
Bläss- x Zwergkanadagans (Hybrid);Greater White-fronted x Cackling Goose (hybrid);Hybride Oie rieuse x Bernache de Hutchins;x00414
Weißwangen- x Zwergkanadagans (Hybrid);Barnacle x Cackling Goose (hybrid);Hybride Bernache nonnette x B. de Hutchins;x00416
Kanadagans;Canada Goose;Bernache du Canada;cangoo
Kanadagans (moffitti/maxima);Canada Goose (moffitti/maxima);Bernache du Canada (moffitti/maxima);cangoo4
Kanadagans (occidentalis/fulva);Canada Goose (occidentalis/fulva);Bernache du Canada (occidentalis/fulva);cangoo3
Kanadagans [canadensis-Gruppe];Canada Goose (canadensis Group);Bernache du Canada (groupe canadensis);cangoo1
Streifen- x Kanadagans (Hybrid);Bar-headed x Canada Goose (hybrid);Hybride Oie à tête barrée x Bernache du Canada;x00908
Schwanen- x Kanadagans (Hybrid);Swan x Canada Goose (hybrid);Hybride Oie cygnoïde x Bernache du Canada;swagoo3
Kurzschnabel- x Kanadagans (Hybrid);Pink-footed x Canada Goose (hybrid);Hybride Oie à bec court x Bernache du Canada;x00650
Bläss- x Kanadagans (Hybrid);Greater White-fronted x Canada Goose (hybrid);Hybride Oie rieuse x Bernache du Canada;x00415
Bläss- x Zwergkanada-/Kanadagans (Hybrid);Greater White-fronted x Cackling/Canada Goose (hybrid);Hybride Oie rieuse x Bernache du Canada ou B. de Hutchins;x01088
Grau- x Kanadagans (Hybrid);Graylag x Canada Goose (hybrid);Hybride Oie cendrée x Bernache du Canada;x00758
Gans (domestiziert) x Kanadagans (Hybrid);Domestic goose sp. x Canada Goose (hybrid);Hybride Anser sp. (forme domestique) x Bernache du Canada;x00759
Schnee- x Kanadagans (Hybrid);Snow x Canada Goose (hybrid);Hybride Oie des neiges x Bernache du Canada;x00197
Zwergschnee- x Kanadagans (Hybrid);Ross's x Canada Goose (hybrid);Hybride Oie de Ross x Bernache du Canada;x00693
Weißwangen- x Kanadagans (Hybrid);Barnacle x Canada Goose (hybrid);Hybride Bernache nonnette x B. du Canada;x00417
Zwergkanada-/Kanadagans;Cackling/Canada Goose;Bernache de Hutchins ou B. du Canada;y00470
Schnee-/Zwergschnee- x Zwergkanada-/Kanadagans (Hybrid);Snow/Ross's x Cackling/Canada Goose (hybrid);Hybride Oie des neiges ou O. de Ross x Bernache de Hutchins ou B. du Canada;y00765
Hawaiigans;Hawaiian Goose;Bernache néné;hawgoo
Weißwangen- x Hawaiigans (Hybrid);Barnacle x Hawaiian Goose (hybrid);Hybride Bernache nonnette x B. néné;x01139
Rothalsgans;Red-breasted Goose;Bernache à cou roux;rebgoo1
Bläss- x Rothalsgans (Hybrid);Greater White-fronted x Red-breasted Goose (hybrid);Hybride Oie rieuse x Bernache à cou roux;x00939
Ringel- x Rothalsgans (Hybrid);Brant x Red-breasted Goose (hybrid);Hybride Bernache cravant x B. à cou roux;x00996
Weißwangen- x Rothalsgans (Hybrid);Barnacle x Red-breasted Goose (hybrid);Hybride Bernache nonnette x B. à cou roux;x00365
Branta, unbestimmt;Branta sp.;bernache sp.;branta1
Hühnergans;Cape Barren Goose;Céréopse cendré;cabgoo1
Affengans;Freckled Duck;Stictonette tachetée;freduc1
Blauflügelgans;Blue-winged Goose;Cyanoie à ailes bleues;buwgoo1
Höckerschwan;Mute Swan;Cygne tuberculé;mutswa
Graugans x Höckerschwan (Hybrid);Graylag Goose x Mute Swan (hybrid);Hybride Oie cendrée x Cygne tuberculé;x00366
Schwarzschwan;Black Swan;Cygne noir;blkswa
Höcker- x Schwarzschwan (Hybrid);Mute x Black Swan (hybrid);Hybride Cygne tuberculé x C. noir;x01037
Schwarzhalsschwan;Black-necked Swan;Cygne à cou noir;blnswa2
Trompeterschwan;Trumpeter Swan;Cygne trompette;truswa
Höcker- x Trompeterschwan (Hybrid);Mute x Trumpeter Swan (hybrid);Hybride Cygne tuberculé x C. trompette;x00832
Zwergschwan;Tundra Swan;Cygne siffleur;tunswa
Zwergschwan (Pfeifschwan);Tundra Swan (Whistling);Cygne siffleur (columbianus);tunswa1
Zwergschwan (bewickii);Tundra Swan (Bewick's);Cygne siffleur (bewickii);bewswa1
Zwergschwan (columbianus x bewickii);Tundra Swan (Whistling x Bewick's);Cygne siffleur (columbianus x bewickii);tunswa2
Trompeter- x Zwergschwan (Hybrid);Trumpeter x Tundra Swan (hybrid);Hybride Cygne trompette x C. siffleur;x00418
Trompeter-/Zwergschwan;Trumpeter/Tundra Swan;Cygne trompette ou C. siffleur;y00471
Singschwan;Whooper Swan;Cygne chanteur;whoswa
Höcker- x Singschwan (Hybrid);Mute x Whooper Swan (hybrid);Hybride Cygne tuberculé x C. chanteur;x00997
Trompeter- x Singschwan (Hybrid);Trumpeter x Whooper Swan (hybrid);Hybride Cygne trompette x C. chanteur;x00419
Zwerg-/Singschwan;Tundra/Whooper Swan;Cygne siffleur ou C. chanteur;y00708
Schwan, unbestimmt;swan sp.;cygne sp.;swan1
Coscorobaschwan;Coscoroba Swan;Coscoroba blanc;cosswa1
Glanzente;Knob-billed Duck;Canard à bosse;comduc2
Höckerschnabelente;Comb Duck;Canard sylvicole;comduc3
Hartlaubente;Hartlaub's Duck;Ptéronette de Hartlaub;harduc1
Orinokogans;Orinoco Goose;Ouette de l'Orénoque;origoo1
Andengans;Andean Goose;Ouette des Andes;andgoo1
Magellangans;Upland Goose;Ouette de Magellan;uplgoo1
Magellangans (weißbrüstig);Upland Goose (White-breasted);Ouette de Magellan (forme à poitrine blanche);uplgoo2
Magellangans (wellenbrüstig);Upland Goose (Bar-breasted);Ouette de Magellan (forme à poitrine rayée);uplgoo3
Kelpgans;Kelp Goose;Ouette marine;kelgoo1
Graukopfgans;Ashy-headed Goose;Ouette à tête grise;ashgoo1
Rotkopfgans;Ruddy-headed Goose;Ouette à tête rousse;ruhgoo1
Graukopf- x Rotkopfgans (Hybrid);Ashy-headed x Ruddy-headed Goose (hybrid);Hybride Ouette à tête grise x O. à tête rousse;x01120
Chloephaga, unbestimmt;Chloephaga sp.;Chloephaga sp.;chloep1
Gans, unbestimmt;goose sp.;anatidé sp. (oie sp.);goose1
Radjahgans;Radjah Shelduck;Tadorne radjah;radshe1
Nilgans;Egyptian Goose;Ouette d'Égypte;egygoo
Glanzente x Nilgans (Hybrid);Knob-billed Duck x Egyptian Goose (hybrid);Hybride Canard à bosse x Ouette d'Égypte;x01177
Mauritiusgans;Mauritius Shelduck;Ouette de Maurice;maushe1
Réuniongans;Reunion Shelduck;Ouette de La Réunion;reushe1
Rostgans;Ruddy Shelduck;Tadorne casarca;rudshe
Nil- x Rostgans (Hybrid);Egyptian Goose x Ruddy Shelduck (hybrid);Hybride Ouette d'Égypte x Tadorne casarca;x00367
Kapgans;South African Shelduck;Tadorne à tête grise;soashe1
Halsbandgans;Australian Shelduck;Tadorne d'Australie;ausshe1
Paradiesgans;Paradise Shelduck;Tadorne de paradis;parshe1
Brandgans;Common Shelduck;Tadorne de Belon;comshe
Rost- x Brandgans (Hybrid);Ruddy x Common Shelduck (hybrid);Hybride Tadorne casarca x T. de Belon;x00876
Schopfgans;Crested Shelduck;Tadorne de Corée;creshe1
Sporngans;Spur-winged Goose;Oie-armée de Gambie;spwgoo1
Sporngans (gambensis);Spur-winged Goose (Northern);Oie-armée de Gambie (gambensis);spwgoo2
Sporngans (niger);Spur-winged Goose (Southern);Oie-armée de Gambie (niger);spwgoo3
Langflügel-Dampfschiffente;Flying Steamer-Duck;Brassemer de Patagonie;flystd1
Magellan-Dampfschiffente;Flightless Steamer-Duck;Brassemer cendré;flistd1
Magellan-Dampfschiffente (Chiloe-Form);Flightless Steamer-Duck (Chiloe form);Brassemer cendré (forme de Chiloé);flistd2
Falkland-Dampfschiffente;Falkland Steamer-Duck;Brassemer des Malouines;falstd1
Falkland-Dampfschiffente (flugunfähig);Falkland Steamer-Duck (Flightless);Brassemer des Malouines (forme non volante);falstd2
Falkland-Dampfschiffente (flugfähig);Falkland Steamer-Duck (Flying);Brassemer des Malouines (forme volante);falstd3
Weißkopf-Dampfschiffente;White-headed Steamer-Duck;Brassemer à tête blanche;whhstd1
Langflügel-/Weißkopf-Dampfschiffente;Flying/White-headed Steamer-Duck;Brassemer de Patagonie ou B. à tête blanche;y01376
Dampfschiffente, unbestimmt;steamer-duck sp.;brassemer sp.;steame1
Schopfente;Crested Duck;Canard huppé;creduc1
Kupferspiegelente;Spectacled Duck;Canard à lunettes;speduc2
Moschusente;Muscovy Duck;Canard musqué;musduc
Moschusente (domestiziert);Muscovy Duck (Domestic type);Canard musqué (forme domestique);musduc3
Nilgans x Moschusente (Hybrid);Egyptian Goose x Muscovy Duck (hybrid);Hybride Ouette d'Égypte x Canard musqué;x01045
Smaragdzwergente;Green Pygmy-Goose;Anserelle élégante;grnpyg1
Koromandelzwergente;Cotton Pygmy-Goose;Anserelle de Coromandel;copgoo1
Smaragd-/Koromandelzwergente;Green/Cotton Pygmy-Goose;Anserelle élégante ou A. de Coromandel;y01228
Schmuckzwergente;African Pygmy-Goose;Anserelle naine;afrpyg1
Rotschulterente;Ringed Teal;Canard à collier noir;rintea1
Brautente;Wood Duck;Canard branchu;wooduc
Brandgans x Brautente (Hybrid);Common Shelduck x Wood Duck (hybrid);Hybride Tadorne de Belon x Canard branchu;x00940
Mandarinente;Mandarin Duck;Canard mandarin;manduc
Braut- x Mandarinente (Hybrid);Wood x Mandarin Duck (hybrid);Hybride Canard branchu x C. mandarin;x00833
Mähnenente;Maned Duck;Canard à crinière;manduc1
Finschs Ente;Finsch's Duck;Canard de Finsch;finduc1
Amazonasente;Brazilian Teal;Canard amazonette;bratea1
Braut- x Amazonasente (Hybrid);Wood Duck x Brazilian Teal (hybrid);Hybride Canard branchu x C. amazonette;x01178
Saumschnabelente;Blue Duck;Canard bleu;bluduc1
Sturzbachente;Torrent Duck;Merganette des torrents;torduc1
Sturzbachente (leucogenis/colombiana);Torrent Duck (Colombian);Merganette des torrents (leucogenis/colombiana);torduc8
Sturzbachente (turneri);Torrent Duck (Black-bellied);Merganette des torrents (turneri);torduc4
Sturzbachente (garleppi/berlepschi);Torrent Duck (Bolivian);Merganette des torrents (garleppi/berlepschi);torduc9
Sturzbachente (armata);Torrent Duck (Patagonian);Merganette des torrents (armata);torduc7
Salvadoriente;Salvadori's Teal;Canard de Salvadori;saltea1
