DE;EN;FR;SPECIES_CODE
Piroltrupial;Streak-backed Oriole;Oriole à dos rayé;stbori
Piroltrupial [pustulatus-Gruppe];Streak-backed Oriole (West Mexican);Oriole à dos rayé (groupe pustulatus);stbori1
Piroltrupial [sclateri-Gruppe];Streak-backed Oriole (Streak-backed);Oriole à dos rayé (groupe sclateri);stbori3
Piroltrupial (graysonii);Streak-backed Oriole (Tres Marias Is.);Oriole à dos rayé (graysonii);stbori2
Bergland- x Piroltrupial (Hybrid);Black-vented x Streak-backed Oriole (hybrid);Hybride Oriole cul-noir x O. à dos rayé;x00490
Bullocktrupial;Bullock's Oriole;Oriole de Bullock;bulori
Masken- x Bullocktrupial (Hybrid);Hooded x Bullock's Oriole (hybrid);Hybride Oriole masqué x O. de Bullock;x01215
Goldtrupial;Orange Oriole;Oriole orange;oraori1
Jamaikatrupial;Jamaican Oriole;Oriole de Jamaïque;jamori1
Orangebrusttrupial;Yellow Oriole;Oriole jaune;yelori1
Tropfentrupial;Spot-breasted Oriole;Oriole maculé;spbori
Schwarzkehltrupial;Altamira Oriole;Oriole à gros bec;altori
Schwarzkopftrupial;Audubon's Oriole;Oriole d'Audubon;audori
Schwarzkopftrupial (graduacauda/audubonii);Audubon's Oriole (Audubon's);Oriole d'Audubon (graduacauda/audubonii);audori1
Schwarzkopftrupial (dickeyae/nayaritensis);Audubon's Oriole (Dickey's);Oriole d'Audubon (dickeyae/nayaritensis);audori2
Schwarzkehl- x Schwarzkopftrupial (Hybrid);Altamira x Audubon's Oriole (hybrid);Hybride Oriole à gros bec x O. d'Audubon;x00449
Baltimoretrupial;Baltimore Oriole;Oriole de Baltimore;balori
Bullock- x Baltimoretrupial (Hybrid);Bullock's x Baltimore Oriole (hybrid);Hybride Oriole de Bullock x O. de Baltimore;x00013
Bullock-/Baltimoretrupial;Bullock's/Baltimore Oriole;Oriole de Bullock ou O. de Baltimore;y00022
Schwarzmanteltrupial;Black-backed Oriole;Oriole d'Abeillé;blbori1
Bullock- x Schwarzmanteltrupial (Hybrid);Bullock's x Black-backed Oriole (hybrid);Hybride Oriole de Bullock x O. d'Abeillé;x00903
Bullock-/Schwarzmanteltrupial;Bullock's/Black-backed Oriole;Oriole de Bullock ou O. d'Abeillé;y00630
Kalifornientrupial;Scott's Oriole;Oriole jaune-verdâtre;scoori
Trupial, unbestimmt;new world oriole sp.;oriole sp.;oriole
Bromelienstärling;Jamaican Blackbird;Carouge de Jamaïque;jambla1
Rotflügelstärling;Red-winged Blackbird;Carouge à épaulettes;rewbla
Rotflügelstärling [phoeniceus-Gruppe];Red-winged Blackbird (Red-winged);Carouge à épaulettes (groupe phoeniceus);rewbla1
Rotflügelstärling (californicus/mailliardorum);Red-winged Blackbird (California Bicolored);Carouge à épaulettes (californicus/mailliardorum);rewbla2
Rotflügelstärling (gubernator);Red-winged Blackbird (Mexican Bicolored);Carouge à épaulettes (gubernator);rewbla3
Rotschulterstärling;Red-shouldered Blackbird;Carouge de Cuba;resbla1
Dreifarbenstärling;Tricolored Blackbird;Carouge de Californie;tribla
Rotflügel-/Dreifarbenstärling;Red-winged/Tricolored Blackbird;Carouge à épaulettes ou C. de Californie;y00651
Braunschulterstärling;Tawny-shouldered Blackbird;Petit Carouge;tasbla
Rotschulter-/Braunschulterstärling;Red-shouldered/Tawny-shouldered Blackbird;Carouge de Cuba ou Petit Carouge;y00926
Gelbschulterstärling;Yellow-shouldered Blackbird;Carouge de Porto Rico;yesbla1
Rotachsel-Kuhstärling;Screaming Cowbird;Vacher criard;scrcow1
Seidenkuhstärling;Shiny Cowbird;Vacher luisant;shicow
Rotachsel-/Seidenkuhstärling;Screaming/Shiny Cowbird;Vacher criard ou V. luisant;y00828
Rotaugen-Kuhstärling;Bronzed Cowbird;Vacher bronzé;brocow
Rotaugen-Kuhstärling [aeneus-Gruppe];Bronzed Cowbird (Bronzed);Vacher bronzé (groupe aeneus);brocow1
Rotaugen-Kuhstärling (Zwergkuhstärling);Bronzed Cowbird (Bronze-brown);Vacher bronzé (armenti);brocow2
Seiden-/Rotaugen-Kuhstärling;Shiny/Bronzed Cowbird;Vacher luisant ou V. bronzé;y01117
Braunkopf-Kuhstärling;Brown-headed Cowbird;Vacher à tête brune;bnhcow
Seiden-/Braunkopf-Kuhstärling;Shiny/Brown-headed Cowbird;Vacher luisant ou V. à tête brune;y00336
Rotaugen-/Braunkopf-Kuhstärling;Bronzed/Brown-headed Cowbird;Vacher bronzé ou V. à tête brune;y00337
Riesenkuhstärling;Giant Cowbird;Vacher géant;giacow
Trauerstärling;Melodious Blackbird;Quiscale chanteur;melbla1
Buschstärling;Scrub Blackbird;Quiscale buissonnier;scrbla1
Kubastärling;Cuban Blackbird;Quiscale violet;cubbla
Roststärling;Rusty Blackbird;Quiscale rouilleux;rusbla
Purpurstärling;Brewer's Blackbird;Quiscale de Brewer;brebla
Rost-/Purpurstärling;Rusty/Brewer's Blackbird;Quiscale rouilleux ou Q. de Brewer;y00227
Purpurgrackel;Common Grackle;Quiscale bronzé;comgra
Purpurgrackel (quiscula/stonei);Common Grackle (Florida/Purple);Quiscale bronzé (quiscula/stonei);comgra1
Purpurgrackel (stonei);Common Grackle (Purple);Quiscale bronzé (stonei);comgra3
Purpurgrackel (quiscula);Common Grackle (Florida);Quiscale bronzé (quiscula);comgra4
Purpurgrackel (versicolor);Common Grackle (Bronzed);Quiscale bronzé (versicolor);comgra2
Bootschwanzgrackel;Boat-tailed Grackle;Quiscale des marais;botgra
Bootschwanzgrackel (major);Boat-tailed Grackle (major);Quiscale des marais (major);botgra1
Bootschwanzgrackel (torreyi/alabamensis);Boat-tailed Grackle (torreyi/alabamensis);Quiscale des marais (torreyi/alabamensis);botgra2
Bootschwanzgrackel (westoni);Boat-tailed Grackle (westoni);Quiscale des marais (westoni);botgra3
Großschwanzgrackel;Great-tailed Grackle;Quiscale à longue queue;grtgra
Großschwanzgrackel [graysoni-Gruppe];Great-tailed Grackle (Western);Quiscale à longue queue (groupe graysoni);grtgra1
Großschwanzgrackel [mexicanus-Gruppe];Great-tailed Grackle (Great-tailed);Quiscale à longue queue (groupe mexicanus);grtgra2
Purpurstärling x Großschwanzgrackel (Hybrid);Brewer's Blackbird x Great-tailed Grackle (hybrid);Hybride Quiscale de Brewer x Q. à longue queue;x00753
Purpur- x Großschwanzgrackel (Hybrid);Common x Great-tailed Grackle (hybrid);Hybride Quiscale bronzé x Q. à longue queue;x00479
Bootschwanz- x Großschwanzgrackel (Hybrid);Boat-tailed x Great-tailed Grackle (hybrid);Hybride Quiscale des marais x Q. à longue queue;x00977
Bootschwanz-/Großschwanzgrackel;Boat-tailed/Great-tailed Grackle;Quiscale des marais ou Q. à longue queue;y00629
Schlankschnabelgrackel;Slender-billed Grackle;Quiscale de Mexico;slbgra1
Nicaraguagrackel;Nicaraguan Grackle;Quiscale du Nicaragua;nicgra1
Antillengrackel;Greater Antillean Grackle;Quiscale noir;gragra1
Trauergrackel;Carib Grackle;Quiscale merle;cargra1
Trauergrackel [lugubris-Gruppe];Carib Grackle (Carib);Quiscale merle (groupe lugubris);cargra11
Trauergrackel (fortirostris);Carib Grackle (Barbados);Quiscale merle (fortirostris);cargra7
Grackel, unbestimmt;grackle sp.;Quiscalus sp.;grackl
Rotbauchstärling;Red-bellied Grackle;Carouge à ventre rouge;rebgra1
Samtstirnstärling;Velvet-fronted Grackle;Carouge velouté;vefgra1
Gelbbauchstärling;Oriole Blackbird;Carouge loriot;oribla1
Braunachselstärling;Mountain Grackle;Carouge montagnard;mougra1
Goldachselstärling;Golden-tufted Grackle;Carouge des tépuis;gotgra1
Strichelkopfstärling;Austral Blackbird;Carouge austral;ausbla1
Rotkopfstärling;Scarlet-headed Blackbird;Carouge à tête rouge;schbla1
Forbesstärling;Forbes's Blackbird;Carouge de Forbes;forbla1
Palmenstärling;Chopi Blackbird;Carouge chopi;chobla1
Bolivienstärling;Bolivian Blackbird;Carouge de Bolivie;bolbla1
Graustärling;Grayish Baywing;Carouge à ailes baies;bawcow4
Braunstärling;Pale Baywing;Carouge de Spix;bawcow3
Grau-/Braunstärling;Grayish/Pale Baywing;Carouge à ailes baies ou C. de Spix;bawcow2
Gelbaugenstärling;Pale-eyed Blackbird;Carouge à oeil clair;paebla2
Einfarbstärling;Unicolored Blackbird;Carouge unicolore;unibla2
Einfarbstärling (atroolivaceus/unicolor);Unicolored Blackbird (Azara's);Carouge unicolore (atroolivaceus/unicolor);unibla1
